Dia,Poluentes,Indice,,,,,,,,,
12-03-18,Particulas Inalaveis,Particulas Inalaveis,Particulas Inalaveis,Ozonio,84,23,21,69,,,
13-03-18,Ozonio,Ozonio,Ozonio,Particulas Inalaveis,41,58,64,43,,,
14-03-18,Ozonio,Ozonio,Ozonio,Ozonio,45,61,63,41,,,
15-03-18,Ozonio,Ozonio,Ozonio,Particulas Inalaveis,44,39,58,42,,,
16-03-18,Particulas Inalaveis,Ozonio,Ozonio,Ozonio,57,55,72,34,,,
17-03-18,,,,,,,,,,,
18-03-18,,,,,,,,,,,
19-03-18,,,,,,,,,,,
20-03-18,,,,,,,,,,,
21-03-18,,,,,,,,,,,
22-03-18,,,,,,,,,,,
23-03-18,,,,,,,,,,,
24-03-18,,,,,,,,,,,
25-03-18,,,,,,,,,,,
26-03-18,,,,,,,,,,,
27-03-18,,,,,,,,,,,
28-03-18,,,,,,,,,,,
29-03-18,,,,,,,,,,,
30-03-18,,,,,,,,,,,
31-03-18,,,,,,,,,,,
01-04-18,,,,,,,,,,,
02-04-18,,,,,,,,,,,
03-04-18,,,,,,,,,,,
04-04-18,,,,,,,,,,,
05-04-18,,,,,,,,,,,
06-04-18,,,,,,,,,,,
07-04-18,,,,,,,,,,,
08-04-18,,,,,,,,,,,
09-04-18,,,,,,,,,,,
10-04-18,,,,,,,,,,,
11-04-18,,,,,,,,,,,
12-04-18,,,,,,,,,,,
13-04-18,,,,,,,,,,,
14-04-18,,,,,,,,,,,
15-04-18,,,,,,,,,,,
16-04-18,,,,,,,,,,,
17-04-18,,,,,,,,,,,
18-04-18,,,,,,,,,,,
19-04-18,,,,,,,,,,,
20-04-18,,,,,,,,,,,
21-04-18,,,,,,,,,,,
22-04-18,,,,,,,,,,,
23-04-18,,,,,,,,,,,
24-04-18,,,,,,,,,,,
25-04-18,,,,,,,,,,,
26-04-18,,,,,,,,,,,
27-04-18,,,,,,,,,,,
28-04-18,,,,,,,,,,,
29-04-18,,,,,,,,,,,
30-04-18,,,,,,,,,,,
01-05-18,,,,,,,,,,,
02-05-18,,,,,,,,,,,
03-05-18,,,,,,,,,,,
04-05-18,,,,,,,,,,,
05-05-18,,,,,,,,,,,
06-05-18,,,,,,,,,,,
07-05-18,,,,,,,,,,,
08-05-18,,,,,,,,,,,
09-05-18,,,,,,,,,,,
10-05-18,,,,,,,,,,,
11-05-18,,,,,,,,,,,
12-05-18,,,,,,,,,,,
13-05-18,,,,,,,,,,,
14-05-18,,,,,,,,,,,
15-05-18,,,,,,,,,,,
16-05-18,,,,,,,,,,,
17-05-18,,,,,,,,,,,
18-05-18,,,,,,,,,,,
19-05-18,,,,,,,,,,,
20-05-18,,,,,,,,,,,
21-05-18,,,,,,,,,,,
22-05-18,,,,,,,,,,,
23-05-18,,,,,,,,,,,
24-05-18,,,,,,,,,,,
25-05-18,,,,,,,,,,,
26-05-18,,,,,,,,,,,
27-05-18,,,,,,,,,,,
28-05-18,,,,,,,,,,,
29-05-18,,,,,,,,,,,
30-05-18,,,,,,,,,,,
31-05-18,,,,,,,,,,,
01-06-18,,,,,,,,,,,
02-06-18,,,,,,,,,,,
03-06-18,,,,,,,,,,,
04-06-18,,,,,,,,,,,
05-06-18,,,,,,,,,,,
06-06-18,,,,,,,,,,,
07-06-18,,,,,,,,,,,
08-06-18,,,,,,,,,,,
09-06-18,,,,,,,,,,,
10-06-18,,,,,,,,,,,
11-06-18,,,,,,,,,,,
12-06-18,,,,,,,,,,,
13-06-18,,,,,,,,,,,
14-06-18,,,,,,,,,,,
15-06-18,,,,,,,,,,,
16-06-18,,,,,,,,,,,
17-06-18,,,,,,,,,,,
18-06-18,,,,,,,,,,,
19-06-18,,,,,,,,,,,
20-06-18,,,,,,,,,,,
21-06-18,,,,,,,,,,,
22-06-18,,,,,,,,,,,
23-06-18,,,,,,,,,,,
24-06-18,,,,,,,,,,,
25-06-18,,,,,,,,,,,
26-06-18,,,,,,,,,,,
27-06-18,,,,,,,,,,,
28-06-18,,,,,,,,,,,
29-06-18,,,,,,,,,,,
30-06-18,,,,,,,,,,,
01-07-18,,,,,,,,,,,
02-07-18,,,,,,,,,,,
03-07-18,,,,,,,,,,,
04-07-18,,,,,,,,,,,
05-07-18,,,,,,,,,,,
06-07-18,,,,,,,,,,,
07-07-18,,,,,,,,,,,
08-07-18,,,,,,,,,,,
09-07-18,,,,,,,,,,,
10-07-18,,,,,,,,,,,
11-07-18,,,,,,,,,,,
12-07-18,,,,,,,,,,,
13-07-18,,,,,,,,,,,
14-07-18,,,,,,,,,,,
15-07-18,,,,,,,,,,,
16-07-18,,,,,,,,,,,
17-07-18,,,,,,,,,,,
18-07-18,,,,,,,,,,,
19-07-18,,,,,,,,,,,
20-07-18,,,,,,,,,,,
